datetime,avg_price,volume,min_price,max_price
2026-03-11,78.5,94,77,80
2026-03-12,97.5,104,65,130
2026-03-13,79.0,87,78,80
2026-03-14,79.5,95,79,80
2026-03-15,79.0,60,78,80
2026-03-16,80.0,60,78,82
2026-03-17,80.0,66,78,82
2026-03-18,79.0,71,78,80
2026-03-19,80.0,75,70,90
2026-03-20,79.0,56,78,80
2026-03-21,82.0,41,74,90
2026-03-22,85.0,44,75,95
2026-03-23,90.0,46,80,100
2026-03-24,89.5,47,79,100
2026-03-25,80.0,70,70,90
2026-03-26,78.5,62,77,80
2026-03-27,79.0,77,78,80
2026-03-28,79.0,96,78,80
2026-03-29,78.0,90,75,81
2026-03-30,78.5,70,77,80
2026-03-31,78.5,80,77,80
2026-04-01,78.5,83,77,80
2026-04-02,78.5,79,77,80
2026-04-03,78.5,72,77,80
2026-04-04,76.0,130,72,80
2026-04-05,78.5,82,77,80
2026-04-06,78.5,95,77,80
2026-04-07,78.5,101,77,80
2026-04-08,78.5,87,77,80
2026-04-09,78.5,89,77,80
2026-04-10,78.5,95,77,80
2026-04-11,79.5,125,78,81
2026-04-12,78.5,136,77,80
2026-04-13,79.0,97,78,80
2026-04-14,78.5,89,77,80
2026-04-15,83.0,145,66,100
2026-04-16,77.5,129,60,95
2026-04-17,79.0,90,78,80
2026-04-18,79.5,129,78,81
2026-04-19,80.0,125,78,82
2026-04-20,80.5,71,79,82
2026-04-21,80.0,57,78,82
2026-04-22,79.0,90,78,80
2026-04-23,77.5,128,65,90
2026-04-24,81.5,113,75,88
2026-04-25,80.0,80,78,82
2026-04-26,81.0,130,74,88
2026-04-27,80.0,74,75,85
2026-04-28,83.5,110,79,88
2026-04-29,83.0,91,77,89
2026-04-30,80.5,110,73,88
2026-05-01,80.0,119,75,85
2026-05-02,80.0,113,75,85
2026-05-03,84.0,87,83,85
2026-05-04,84.0,60,83,85
2026-05-05,84.0,91,83,85
2026-05-06,84.0,74,83,85
2026-05-07,85.0,95,70,100
2026-05-08,84.5,86,83,86
2026-05-09,85.0,85,83,87
2026-05-10,84.0,130,78,90
2026-05-11,84.0,62,83,85
2026-05-12,86.0,81,83,89
2026-05-13,84.5,84,83,86
2026-05-14,84.0,79,83,85
2026-05-15,82.5,128,75,90
2026-05-16,83.5,65,82,85
2026-05-17,83.5,81,82,85
2026-05-18,85.0,100,80,90
2026-05-19,85.0,84,80,90
2026-05-20,85.0,61,80,90
2026-05-21,85.0,100,80,90
2026-05-22,85.0,93,71,99
2026-05-23,84.0,93,78,90
2026-05-24,84.5,105,79,90
2026-05-25,85.0,110,80,90
2026-05-26,84.0,83,78,90
2026-05-27,83.5,90,77,90
2026-05-28,85.0,63,83,87
2026-05-29,85.0,66,83,87
2026-05-30,85.0,80,83,87
2026-05-31,83.0,106,80,86
2026-06-01,85.0,98,80,90
2026-06-02,83.5,87,77,90
2026-06-03,83.5,102,77,90
2026-06-04,85.0,113,75,95
2026-06-05,85.0,65,83,87
2026-06-06,84.5,96,83,86
2026-06-07,85.0,139,80,90
