datetime,avg_price,volume,min_price,max_price
2026-06-08,58.5,60,57.0,60.0
2026-06-09,57.0,70,53.0,61.0
2026-06-10,58.5,76,57.0,60.0
2026-06-11,59.0,63,58.0,60.0
2026-06-12,53.0,93,41.0,65.0
2026-06-13,57.5,95,50.0,65.0
2026-06-14,55.5,100,50.0,61.0
2026-06-15,59.0,58,57.0,61.0
2026-06-16,58.5,61,57.0,60.0
2026-06-17,57.5,67,50.0,65.0
2026-06-18,53.0,81,41.0,65.0
2026-06-19,52.0,102,41.0,63.0
2026-06-20,54.0,113,48.0,60.0
2026-06-21,55.0,102,45.0,65.0
2026-06-22,53.0,91,41.0,65.0
2026-06-23,51.0,97,42.0,60.0
2026-06-24,53.5,90,42.0,65.0
2026-06-25,55.0,105,45.0,65.0
2026-06-26,55.0,80,50.0,60.0
2026-06-27,52.5,90,45.0,60.0
2026-06-28,53.5,109,47.0,60.0
2026-06-29,53.5,89,47.0,60.0
2026-06-30,52.0,97,44.0,60.0
2026-07-01,53.0,112,41.0,65.0
2026-07-02,55.0,81,50.0,60.0
2026-07-03,58.5,73,57.0,60.0
2026-07-04,56.5,100,53.0,60.0
2026-07-05,55.0,82,45.0,65.0
2026-07-06,57.0,85,49.0,65.0
2026-07-07,50.5,83,41.0,60.0
2026-07-08,57.0,72,54.0,60.0
2026-07-09,58.5,78,57.0,60.0
2026-07-10,58.5,49,57.0,60.0
2026-07-11,55.0,120,45.0,65.0
2026-07-12,56.5,117,53.0,60.0
2026-07-13,57.0,114,54.0,60.0
2026-07-14,57.0,114,49.0,65.0
2026-07-15,58.5,74,57.0,60.0
2026-07-16,58.5,63,57.0,60.0
2026-07-17,58.5,59,57.0,60.0
2026-07-18,56.5,84,53.0,60.0
2026-07-19,59.0,116,58.0,60.0
2026-07-20,70.0,115,40.0,100.0
2026-07-21,59.5,96,39.0,80.0
2026-07-22,59.0,67,58.0,60.0
2026-07-23,58.5,64,57.0,60.0
2026-07-24,95.0,122,40.0,150.0
2026-07-25,58.5,85,57.0,60.0
2026-07-26,57.5,132,35.0,80.0
2026-07-27,60.0,59,58.0,62.0
2026-07-28,60.0,60,58.0,62.0
2026-07-29,59.0,73,58.0,60.0
2026-07-30,59.0,70,58.0,60.0
2026-07-31,60.0,51,58.0,62.0
2026-08-01,60.0,100,55.0,65.0
2026-08-02,59.0,86,58.0,60.0
2026-08-03,59.5,49,58.0,61.0
2026-08-04,60.0,66,58.0,62.0
2026-08-05,60.0,98,55.0,65.0
2026-08-06,59.5,93,49.0,70.0
2026-08-07,59.5,115,49.0,70.0
2026-08-08,60.0,94,55.0,65.0
2026-08-09,60.0,105,55.0,65.0
2026-08-10,60.0,98,50.0,70.0
2026-08-11,66.0,97,57.0,75.0
2026-08-12,64.0,83,55.0,73.0
2026-08-13,62.5,87,55.0,70.0
2026-08-14,64.0,112,53.0,75.0
2026-08-15,59.0,111,46.0,72.0
2026-08-16,59.5,130,49.0,70.0
2026-08-17,60.0,80,50.0,70.0
2026-08-18,65.0,95,60.0,70.0
2026-08-19,62.5,90,55.0,70.0
2026-08-20,62.5,81,55.0,70.0
2026-08-21,65.0,92,55.0,75.0
2026-08-22,62.5,109,55.0,70.0
2026-08-23,65.0,111,55.0,75.0
2026-08-24,62.5,83,55.0,70.0
2026-08-25,65.0,90,55.0,75.0
2026-08-26,64.5,76,60.0,69.0
2026-08-27,62.5,71,55.0,70.0
2026-08-28,62.5,101,55.0,70.0
2026-08-29,64.0,68,59.0,69.0
2026-08-30,60.0,130,50.0,70.0
2026-08-31,62.5,63,55.0,70.0
2026-09-01,62.0,86,54.0,70.0
2026-09-02,62.5,61,55.0,70.0
2026-09-03,65.0,73,55.0,75.0
2026-09-04,60.0,74,50.0,70.0
