datetime,avg_price,volume,min_price,max_price
2026-05-04,74.0,59,73.0,75.0
2026-05-05,73.5,79,72.0,75.0
2026-05-06,74.5,80,73.0,76.0
2026-05-07,73.5,152,67.0,80.0
2026-05-08,74.0,102,73.0,75.0
2026-05-09,74.0,78,73.0,75.0
2026-05-10,74.5,89,73.0,76.0
2026-05-11,75.0,93,70.0,80.0
2026-05-12,75.0,86,73.0,77.0
2026-05-13,74.5,68,73.0,76.0
2026-05-14,75.0,80,73.0,77.0
2026-05-15,74.0,51,73.0,75.0
2026-05-16,74.5,74,74.0,75.0
2026-05-17,74.5,70,74.0,75.0
2026-05-18,75.0,61,73.0,77.0
2026-05-19,75.0,105,70.0,80.0
2026-05-20,75.0,105,65.0,85.0
2026-05-21,75.0,105,70.0,80.0
2026-05-22,76.0,62,73.0,79.0
2026-05-23,75.0,94,73.0,77.0
2026-05-24,75.0,97,73.0,77.0
2026-05-25,77.0,73,74.0,80.0
2026-05-26,72.5,99,65.0,80.0
2026-05-27,72.5,100,65.0,80.0
2026-05-28,75.0,161,70.0,80.0
2026-05-29,76.5,99,73.0,80.0
2026-05-30,77.0,137,74.0,80.0
2026-05-31,76.5,106,73.0,80.0
2026-06-01,76.5,124,73.0,80.0
2026-06-02,78.0,92,76.0,80.0
2026-06-03,78.5,76,77.0,80.0
2026-06-04,76.5,106,73.0,80.0
2026-06-05,79.0,101,78.0,80.0
2026-06-06,78.5,80,77.0,80.0
2026-06-07,78.5,143,77.0,80.0
2026-06-08,76.5,90,73.0,80.0
2026-06-09,78.5,77,77.0,80.0
2026-06-10,79.0,54,78.0,80.0
2026-06-11,78.5,70,77.0,80.0
2026-06-12,76.5,99,73.0,80.0
2026-06-13,76.0,102,72.0,80.0
2026-06-14,76.5,98,73.0,80.0
2026-06-15,77.0,93,74.0,80.0
2026-06-16,77.0,65,74.0,80.0
2026-06-17,77.5,58,75.0,80.0
2026-06-18,77.0,84,74.0,80.0
2026-06-19,77.0,90,74.0,80.0
2026-06-20,77.0,133,74.0,80.0
2026-06-21,76.5,143,73.0,80.0
2026-06-22,77.0,106,74.0,80.0
2026-06-23,78.0,86,76.0,80.0
2026-06-24,78.0,90,76.0,80.0
2026-06-25,78.0,89,76.0,80.0
2026-06-26,77.0,100,74.0,80.0
2026-06-27,76.5,103,73.0,80.0
2026-06-28,77.5,127,75.0,80.0
2026-06-29,78.0,101,76.0,80.0
2026-06-30,77.0,133,74.0,80.0
2026-07-01,77.0,145,74.0,80.0
2026-07-02,77.0,130,74.0,80.0
2026-07-03,78.0,105,76.0,80.0
2026-07-04,77.0,122,74.0,80.0
2026-07-05,76.0,99,72.0,80.0
2026-07-06,77.5,138,75.0,80.0
2026-07-07,76.5,88,73.0,80.0
2026-07-08,76.5,132,73.0,80.0
2026-07-09,76.5,113,73.0,80.0
2026-07-10,76.5,123,73.0,80.0
2026-07-11,77.0,105,74.0,80.0
2026-07-12,77.0,109,74.0,80.0
2026-07-13,78.5,90,77.0,80.0
2026-07-14,77.5,118,73.0,82.0
2026-07-15,77.0,107,74.0,80.0
2026-07-16,77.0,130,74.0,80.0
2026-07-17,76.5,122,73.0,80.0
2026-07-18,78.0,122,76.0,80.0
2026-07-19,78.5,108,77.0,80.0
2026-07-20,78.5,106,77.0,80.0
2026-07-21,78.5,114,77.0,80.0
2026-07-22,77.5,132,75.0,80.0
2026-07-23,78.5,121,77.0,80.0
2026-07-24,78.5,68,77.0,80.0
2026-07-25,78.5,87,77.0,80.0
2026-07-26,78.0,107,76.0,80.0
2026-07-27,76.5,74,73.0,80.0
2026-07-28,78.5,99,77.0,80.0
2026-07-29,78.5,75,77.0,80.0
2026-07-30,77.0,81,74.0,80.0
2026-07-31,77.0,57,74.0,80.0
