datetime,avg_price,volume,min_price,max_price
2026-03-20,82.0,68,74.0,90.0
2026-03-21,89.0,31,88.0,90.0
2026-03-22,90.0,32,80.0,100.0
2026-03-23,90.0,36,80.0,100.0
2026-03-24,90.0,32,80.0,100.0
2026-03-25,83.5,72,72.0,95.0
2026-03-26,80.0,88,70.0,90.0
2026-03-27,80.0,75,75.0,85.0
2026-03-28,79.5,77,79.0,80.0
2026-03-29,80.0,114,75.0,85.0
2026-03-30,80.0,72,75.0,85.0
2026-03-31,78.5,49,77.0,80.0
2026-04-01,78.5,65,77.0,80.0
2026-04-02,78.5,74,77.0,80.0
2026-04-03,79.0,64,78.0,80.0
2026-04-04,79.0,61,78.0,80.0
2026-04-05,78.5,85,77.0,80.0
2026-04-06,78.5,81,77.0,80.0
2026-04-07,80.0,91,78.0,82.0
2026-04-08,80.0,74,76.0,84.0
2026-04-09,80.0,88,78.0,82.0
2026-04-10,80.0,77,78.0,82.0
2026-04-11,80.0,80,78.0,82.0
2026-04-12,80.0,107,78.0,82.0
2026-04-13,79.0,62,78.0,80.0
2026-04-14,80.0,71,78.0,82.0
2026-04-15,80.0,121,70.0,90.0
2026-04-16,80.0,90,70.0,90.0
2026-04-17,82.0,124,75.0,89.0
2026-04-18,82.5,151,75.0,90.0
2026-04-19,80.0,134,75.0,85.0
2026-04-20,80.0,98,75.0,85.0
2026-04-21,62.5,110,40.0,85.0
2026-04-22,80.0,87,70.0,90.0
2026-04-23,80.0,99,70.0,90.0
2026-04-24,80.0,112,70.0,90.0
2026-04-25,80.0,105,75.0,85.0
2026-04-26,80.0,118,75.0,85.0
2026-04-27,80.0,92,70.0,90.0
2026-04-28,82.0,105,74.0,90.0
2026-04-29,80.0,100,70.0,90.0
2026-04-30,80.0,90,75.0,85.0
2026-05-01,80.0,100,70.0,90.0
2026-05-02,78.5,99,72.0,85.0
2026-05-03,83.0,114,78.0,88.0
2026-05-04,80.0,80,75.0,85.0
2026-05-05,83.0,107,78.0,88.0
2026-05-06,84.0,83,78.0,90.0
2026-05-07,84.0,65,83.0,85.0
2026-05-08,83.5,71,82.0,85.0
2026-05-09,84.5,61,83.0,86.0
2026-05-10,85.0,106,80.0,90.0
2026-05-11,83.5,81,82.0,85.0
2026-05-12,85.0,105,80.0,90.0
2026-05-13,84.5,54,84.0,85.0
2026-05-14,83.0,99,79.0,87.0
2026-05-15,82.5,101,75.0,90.0
2026-05-16,81.5,128,75.0,88.0
2026-05-17,83.5,75,82.0,85.0
2026-05-18,85.0,53,83.0,87.0
2026-05-19,85.0,89,80.0,90.0
2026-05-20,83.5,51,82.0,85.0
2026-05-21,84.0,53,82.0,86.0
2026-05-22,56.0,106,12.0,100.0
2026-05-23,84.5,77,84.0,85.0
2026-05-24,84.0,59,83.0,85.0
2026-05-25,83.5,68,82.0,85.0
2026-05-26,84.0,68,83.0,85.0
2026-05-27,85.0,70,80.0,90.0
2026-05-28,85.0,83,80.0,90.0
2026-05-29,84.5,72,83.0,86.0
2026-05-30,85.0,76,83.0,87.0
2026-05-31,80.0,112,70.0,90.0
2026-06-01,85.0,56,83.0,87.0
2026-06-02,75.5,81,61.0,90.0
2026-06-03,84.0,60,82.0,86.0
2026-06-04,85.0,65,83.0,87.0
2026-06-05,83.0,89,80.0,86.0
2026-06-06,84.0,64,82.0,86.0
2026-06-07,83.5,60,82.0,85.0
2026-06-08,84.5,71,83.0,86.0
2026-06-09,82.5,101,65.0,100.0
2026-06-10,84.0,63,83.0,85.0
2026-06-11,84.5,60,83.0,86.0
2026-06-12,83.5,62,82.0,85.0
2026-06-13,82.5,92,78.0,87.0
2026-06-14,83.5,69,82.0,85.0
2026-06-15,82.0,96,79.0,85.0
2026-06-16,83.5,70,82.0,85.0
