datetime,avg_price,volume,min_price,max_price
2026-02-17,87.0,66,80,94
2026-02-18,88.5,69,87,90
2026-02-19,89.0,72,88,90
2026-02-20,88.5,46,87,90
2026-02-21,89.0,71,88,90
2026-02-22,89.0,68,87,91
2026-02-23,90.0,48,88,92
2026-02-24,89.5,39,89,90
2026-02-25,89.0,63,88,90
2026-02-26,89.5,51,89,90
2026-02-27,90.0,57,88,92
2026-02-28,89.0,64,88,90
2026-03-01,90.0,73,85,95
2026-03-02,89.0,38,88,90
2026-03-03,88.5,34,87,90
2026-03-04,88.5,36,87,90
2026-03-05,88.5,54,87,90
2026-03-06,88.5,49,87,90
2026-03-07,88.0,48,83,93
2026-03-08,88.5,50,87,90
2026-03-09,87.0,49,84,90
2026-03-10,88.0,51,86,90
2026-03-11,87.0,38,84,90
2026-03-12,87.0,57,84,90
2026-03-13,88.0,41,86,90
2026-03-14,88.5,67,85,92
2026-03-15,87.5,53,85,90
2026-03-16,87.5,58,85,90
2026-03-17,88.0,44,86,90
2026-03-18,86.0,62,82,90
2026-03-19,86.5,56,83,90
2026-03-20,87.0,64,84,90
2026-03-21,91.0,27,88,94
2026-03-22,92.5,28,85,100
2026-03-23,90.0,27,85,95
2026-03-24,89.0,15,88,90
2026-03-25,86.5,32,83,90
2026-03-26,86.5,61,83,90
2026-03-27,87.0,46,84,90
2026-03-28,87.0,77,84,90
2026-03-29,85.5,57,81,90
2026-03-30,87.0,42,84,90
2026-03-31,88.0,45,86,90
2026-04-01,87.0,58,85,89
2026-04-02,85.0,65,80,90
2026-04-03,88.0,56,86,90
2026-04-04,85.0,64,80,90
2026-04-05,85.0,72,83,87
2026-04-06,85.0,76,80,90
2026-04-07,84.5,67,79,90
2026-04-08,82.5,60,75,90
2026-04-09,87.0,72,84,90
2026-04-10,86.5,96,83,90
2026-04-11,85.5,106,81,90
2026-04-12,86.5,95,83,90
2026-04-13,86.5,92,83,90
2026-04-14,87.0,91,84,90
2026-04-15,89.0,60,88,90
2026-04-16,87.0,72,84,90
2026-04-17,87.5,54,85,90
2026-04-18,87.5,83,85,90
2026-04-19,88.5,62,87,90
2026-04-20,88.5,41,87,90
2026-04-21,88.5,56,87,90
2026-04-22,89.0,46,88,90
2026-04-23,86.5,56,83,90
2026-04-24,87.0,80,84,90
2026-04-25,89.5,70,89,90
2026-04-26,87.0,76,84,90
2026-04-27,87.5,52,85,90
2026-04-28,86.5,57,83,90
2026-04-29,87.5,63,85,90
2026-04-30,87.0,53,84,90
2026-05-01,74.5,89,69,80
2026-05-02,74.0,81,68,80
2026-05-03,75.5,56,72,79
2026-05-04,75.0,62,70,80
2026-05-05,75.0,70,70,80
2026-05-06,75.5,67,70,81
2026-05-07,76.5,63,73,80
2026-05-08,78.5,59,77,80
2026-05-09,77.5,62,73,82
2026-05-10,77.0,61,74,80
2026-05-11,76.5,59,73,80
2026-05-12,76.0,52,72,80
2026-05-13,76.5,60,73,80
2026-05-14,67.5,101,55,80
2026-05-15,67.5,217,60,75
2026-05-16,65.0,212,55,75
