datetime,avg_price,volume,min_price,max_price
2026-05-07,64.5,66,63.0,66.0
2026-05-08,65.0,57,63.0,67.0
2026-05-09,65.0,96,60.0,70.0
2026-05-10,64.5,91,59.0,70.0
2026-05-11,68.5,52,67.0,70.0
2026-05-12,67.0,72,64.0,70.0
2026-05-13,67.0,62,64.0,70.0
2026-05-14,62.5,88,55.0,70.0
2026-05-15,65.0,57,60.0,70.0
2026-05-16,63.5,77,57.0,70.0
2026-05-17,66.5,88,63.0,70.0
2026-05-18,67.0,71,64.0,70.0
2026-05-19,64.5,76,59.0,70.0
2026-05-20,66.5,70,63.0,70.0
2026-05-21,68.5,53,67.0,70.0
2026-05-22,68.5,53,67.0,70.0
2026-05-23,67.0,82,64.0,70.0
2026-05-24,68.5,56,67.0,70.0
2026-05-25,69.0,69,68.0,70.0
2026-05-26,66.5,59,63.0,70.0
2026-05-27,66.5,72,63.0,70.0
2026-05-28,67.5,59,65.0,70.0
2026-05-29,68.0,65,66.0,70.0
2026-05-30,67.0,68,64.0,70.0
2026-05-31,66.5,87,63.0,70.0
2026-06-01,68.5,67,67.0,70.0
2026-06-02,68.5,58,67.0,70.0
2026-06-03,68.5,53,67.0,70.0
2026-06-04,68.5,63,67.0,70.0
2026-06-05,68.5,61,67.0,70.0
2026-06-06,68.5,68,67.0,70.0
2026-06-07,66.5,76,63.0,70.0
2026-06-08,69.0,50,68.0,70.0
2026-06-09,69.0,37,68.0,70.0
2026-06-10,68.5,65,67.0,70.0
2026-06-11,68.5,58,67.0,70.0
2026-06-12,68.5,54,67.0,70.0
2026-06-13,68.5,54,67.0,70.0
2026-06-14,66.5,74,63.0,70.0
2026-06-15,68.5,47,67.0,70.0
2026-06-16,68.5,59,67.0,70.0
2026-06-17,65.0,46,60.0,70.0
2026-06-18,62.5,87,55.0,70.0
2026-06-19,65.0,52,60.0,70.0
2026-06-20,65.0,81,60.0,70.0
2026-06-21,65.0,82,60.0,70.0
2026-06-22,64.5,64,59.0,70.0
2026-06-23,65.0,51,60.0,70.0
2026-06-24,64.5,72,59.0,70.0
2026-06-25,66.0,58,60.0,72.0
2026-06-26,64.0,80,58.0,70.0
2026-06-27,65.0,82,60.0,70.0
2026-06-28,65.5,56,64.0,67.0
2026-06-29,66.5,72,63.0,70.0
2026-06-30,65.0,59,60.0,70.0
2026-07-01,65.0,70,60.0,70.0
2026-07-02,66.5,64,63.0,70.0
2026-07-03,67.0,70,64.0,70.0
2026-07-04,66.5,70,63.0,70.0
2026-07-05,67.0,92,64.0,70.0
2026-07-06,68.5,62,67.0,70.0
2026-07-07,67.0,61,64.0,70.0
2026-07-08,62.5,72,55.0,70.0
2026-07-09,62.5,73,55.0,70.0
2026-07-10,64.0,84,58.0,70.0
2026-07-11,63.5,90,57.0,70.0
2026-07-12,66.0,118,59.0,73.0
2026-07-13,65.0,99,55.0,75.0
2026-07-14,66.0,79,62.0,70.0
2026-07-15,68.5,68,67.0,70.0
2026-07-16,68.5,65,67.0,70.0
2026-07-17,67.5,80,60.0,75.0
2026-07-18,68.5,86,67.0,70.0
2026-07-19,64.5,99,59.0,70.0
2026-07-20,68.5,85,67.0,70.0
2026-07-21,68.5,81,67.0,70.0
2026-07-22,69.0,66,68.0,70.0
2026-07-23,67.0,72,60.0,74.0
2026-07-24,65.0,58,60.0,70.0
2026-07-25,68.5,74,67.0,70.0
2026-07-26,69.0,84,67.0,71.0
2026-07-27,69.0,66,68.0,70.0
2026-07-28,68.5,68,67.0,70.0
2026-07-29,68.5,63,67.0,70.0
2026-07-30,69.0,77,68.0,70.0
2026-07-31,68.5,58,67.0,70.0
2026-08-01,68.5,80,67.0,70.0
2026-08-02,68.5,77,67.0,70.0
2026-08-03,69.5,73,69.0,70.0
