datetime,avg_price,volume,min_price,max_price
2026-05-05,69.0,134,68.0,70.0
2026-05-06,65.0,246,30.0,100.0
2026-05-07,69.0,157,68.0,70.0
2026-05-08,69.5,168,68.0,71.0
2026-05-09,69.0,158,68.0,70.0
2026-05-10,69.0,168,68.0,70.0
2026-05-11,70.0,149,68.0,72.0
2026-05-12,126.0,186,52.0,200.0
2026-05-13,69.0,135,67.0,71.0
2026-05-14,69.0,132,68.0,70.0
2026-05-15,69.5,137,68.0,71.0
2026-05-16,68.5,186,67.0,70.0
2026-05-17,70.0,192,68.0,72.0
2026-05-18,68.5,139,67.0,70.0
2026-05-19,68.5,157,67.0,70.0
2026-05-20,68.5,141,67.0,70.0
2026-05-21,70.0,142,68.0,72.0
2026-05-22,90.0,190,40.0,140.0
2026-05-23,77.5,201,55.0,100.0
2026-05-24,69.0,168,68.0,70.0
2026-05-25,70.0,115,68.0,72.0
2026-05-26,77.0,173,54.0,100.0
2026-05-27,100.0,180,50.0,150.0
2026-05-28,87.5,166,55.0,120.0
2026-05-29,65.0,242,30.0,100.0
2026-05-30,126.0,289,52.0,200.0
2026-05-31,70.0,212,68.0,72.0
2026-06-01,80.0,278,50.0,110.0
2026-06-02,77.5,237,55.0,100.0
2026-06-03,70.5,144,69.0,72.0
2026-06-04,71.5,223,65.0,78.0
2026-06-05,70.0,141,68.0,72.0
2026-06-06,70.0,184,68.0,72.0
2026-06-07,72.5,246,55.0,90.0
2026-06-08,70.0,155,66.0,74.0
2026-06-09,70.0,201,60.0,80.0
2026-06-10,70.0,106,68.0,72.0
2026-06-11,85.0,202,50.0,120.0
2026-06-12,70.0,155,68.0,72.0
2026-06-13,70.0,166,68.0,72.0
2026-06-14,85.0,230,50.0,120.0
2026-06-15,87.5,176,55.0,120.0
2026-06-16,70.0,129,68.0,72.0
2026-06-17,70.0,135,68.0,72.0
2026-06-18,70.0,140,68.0,72.0
2026-06-19,70.0,122,68.0,72.0
2026-06-20,69.5,166,68.0,71.0
2026-06-21,70.0,158,68.0,72.0
2026-06-22,68.5,155,67.0,70.0
2026-06-23,69.0,163,67.0,71.0
2026-06-24,67.5,180,60.0,75.0
2026-06-25,58.5,110,57.0,60.0
2026-06-26,58.0,138,51.0,65.0
2026-06-27,58.0,174,51.0,65.0
2026-06-28,57.5,123,50.0,65.0
2026-06-29,58.0,105,51.0,65.0
2026-06-30,59.0,116,48.0,70.0
2026-07-01,56.5,99,50.0,63.0
2026-07-02,58.5,78,57.0,60.0
2026-07-03,59.5,116,49.0,70.0
2026-07-04,56.0,127,48.0,64.0
2026-07-05,56.5,122,53.0,60.0
2026-07-06,59.0,66,58.0,60.0
2026-07-07,58.5,69,57.0,60.0
2026-07-08,59.0,70,57.0,61.0
2026-07-09,54.5,105,44.0,65.0
2026-07-10,57.5,83,50.0,65.0
2026-07-11,59.5,304,49.0,70.0
2026-07-12,66.5,461,63.0,70.0
2026-07-13,70.0,243,68.0,72.0
2026-07-14,69.0,166,67.0,71.0
2026-07-15,68.5,145,67.0,70.0
2026-07-16,68.5,152,67.0,70.0
2026-07-17,68.5,149,67.0,70.0
2026-07-18,68.5,149,67.0,70.0
2026-07-19,68.0,187,63.0,73.0
2026-07-20,69.0,145,68.0,70.0
2026-07-21,69.0,135,67.0,71.0
2026-07-22,69.0,150,65.0,73.0
2026-07-23,69.0,136,67.0,71.0
2026-07-24,68.5,128,67.0,70.0
2026-07-25,68.5,130,67.0,70.0
2026-07-26,68.5,153,67.0,70.0
2026-07-27,68.5,117,67.0,70.0
2026-07-28,68.5,167,67.0,70.0
2026-07-29,68.5,118,67.0,70.0
2026-07-30,69.5,179,68.0,71.0
2026-07-31,68.5,163,67.0,70.0
2026-08-01,68.5,161,67.0,70.0
