datetime,avg_price,volume,min_price,max_price
2026-02-15,59.5,65,54,65
2026-02-16,61.0,43,58,64
2026-02-17,61.0,110,48,74
2026-02-18,65.0,133,55,75
2026-02-19,65.0,105,55,75
2026-02-20,63.0,116,51,75
2026-02-21,63.0,126,51,75
2026-02-22,63.5,105,52,75
2026-02-23,67.0,73,64,70
2026-02-24,69.0,64,63,75
2026-02-25,69.0,56,68,70
2026-02-26,69.5,88,59,80
2026-02-27,70.0,64,68,72
2026-02-28,69.0,67,68,70
2026-03-01,69.0,53,68,70
2026-03-02,69.5,45,68,71
2026-03-03,70.0,65,65,75
2026-03-04,69.0,55,68,70
2026-03-05,69.0,46,68,70
2026-03-06,69.5,39,69,70
2026-03-07,68.5,56,67,70
2026-03-08,69.0,54,67,71
2026-03-09,69.0,30,68,70
2026-03-10,69.0,60,68,70
2026-03-11,70.0,65,60,80
2026-03-12,70.0,41,68,72
2026-03-13,70.0,44,68,72
2026-03-14,69.0,59,68,70
2026-03-15,68.5,55,67,70
2026-03-16,69.0,47,68,70
2026-03-17,69.5,47,65,74
2026-03-18,70.5,64,56,85
2026-03-19,68.5,49,67,70
2026-03-20,69.0,50,68,70
2026-03-21,69.5,34,58,81
2026-03-22,70.0,30,60,80
2026-03-23,72.5,30,55,90
2026-03-24,75.0,8,74,76
2026-03-25,67.5,37,60,75
2026-03-26,65.0,94,55,75
2026-03-27,65.0,85,55,75
2026-03-28,67.0,102,59,75
2026-03-29,63.0,104,51,75
2026-03-30,64.0,82,53,75
2026-03-31,64.0,75,53,75
2026-04-01,62.0,76,54,70
2026-04-02,67.5,61,60,75
2026-04-03,62.5,92,55,70
2026-04-04,58.0,93,46,70
2026-04-05,61.0,93,55,67
2026-04-06,65.0,90,55,75
2026-04-07,64.5,82,59,70
2026-04-08,65.0,96,55,75
2026-04-09,68.5,83,67,70
2026-04-10,67.5,85,65,70
2026-04-11,63.0,138,51,75
2026-04-12,67.0,112,55,79
2026-04-13,64.5,113,54,75
2026-04-14,68.5,80,67,70
2026-04-15,67.0,87,60,74
2026-04-16,60.5,98,51,70
2026-04-17,67.0,67,64,70
2026-04-18,69.0,65,68,70
2026-04-19,68.5,61,67,70
2026-04-20,70.0,44,68,72
2026-04-21,68.5,58,67,70
2026-04-22,69.5,58,68,71
2026-04-23,68.5,62,67,70
2026-04-24,68.5,65,67,70
2026-04-25,68.5,84,67,70
2026-04-26,67.5,73,65,70
2026-04-27,69.0,43,68,70
2026-04-28,68.5,95,67,70
2026-04-29,68.5,61,67,70
2026-04-30,68.5,51,67,70
2026-05-01,68.5,73,67,70
2026-05-02,66.5,67,63,70
2026-05-03,69.5,63,69,70
2026-05-04,65.0,93,50,80
2026-05-05,69.0,65,68,70
2026-05-06,59.5,108,34,85
2026-05-07,69.0,66,68,70
2026-05-08,86.5,95,53,120
2026-05-09,69.5,68,68,71
2026-05-10,70.0,80,65,75
2026-05-11,69.0,67,68,70
2026-05-12,69.0,66,64,74
2026-05-13,68.5,72,67,70
2026-05-14,69.0,46,68,70
2026-05-15,70.0,70,68,72
