datetime,avg_price,volume,min_price,max_price
2026-04-02,67.5,61,60.0,75.0
2026-04-03,62.5,92,55.0,70.0
2026-04-04,58.0,93,46.0,70.0
2026-04-05,61.0,93,55.0,67.0
2026-04-06,65.0,90,55.0,75.0
2026-04-07,64.5,82,59.0,70.0
2026-04-08,65.0,96,55.0,75.0
2026-04-09,68.5,83,67.0,70.0
2026-04-10,67.5,85,65.0,70.0
2026-04-11,63.0,138,51.0,75.0
2026-04-12,67.0,112,55.0,79.0
2026-04-13,64.5,113,54.0,75.0
2026-04-14,68.5,80,67.0,70.0
2026-04-15,67.0,87,60.0,74.0
2026-04-16,60.5,98,51.0,70.0
2026-04-17,67.0,67,64.0,70.0
2026-04-18,69.0,65,68.0,70.0
2026-04-19,68.5,61,67.0,70.0
2026-04-20,70.0,44,68.0,72.0
2026-04-21,68.5,58,67.0,70.0
2026-04-22,69.5,58,68.0,71.0
2026-04-23,68.5,62,67.0,70.0
2026-04-24,68.5,65,67.0,70.0
2026-04-25,68.5,84,67.0,70.0
2026-04-26,67.5,73,65.0,70.0
2026-04-27,69.0,43,68.0,70.0
2026-04-28,68.5,95,67.0,70.0
2026-04-29,68.5,61,67.0,70.0
2026-04-30,68.5,51,67.0,70.0
2026-05-01,68.5,73,67.0,70.0
2026-05-02,66.5,67,63.0,70.0
2026-05-03,69.5,63,69.0,70.0
2026-05-04,65.0,93,50.0,80.0
2026-05-05,69.0,65,68.0,70.0
2026-05-06,59.5,108,34.0,85.0
2026-05-07,69.0,66,68.0,70.0
2026-05-08,86.5,95,53.0,120.0
2026-05-09,69.5,68,68.0,71.0
2026-05-10,70.0,80,65.0,75.0
2026-05-11,69.0,67,68.0,70.0
2026-05-12,69.0,66,64.0,74.0
2026-05-13,68.5,72,67.0,70.0
2026-05-14,69.0,46,68.0,70.0
2026-05-15,70.0,70,68.0,72.0
2026-05-16,69.0,59,68.0,70.0
2026-05-17,69.0,69,68.0,70.0
2026-05-18,70.0,81,60.0,80.0
2026-05-19,69.0,52,68.0,70.0
2026-05-20,70.0,56,68.0,72.0
2026-05-21,122.5,68,45.0,200.0
2026-05-22,71.0,66,62.0,80.0
2026-05-23,69.5,74,64.0,75.0
2026-05-24,70.0,58,68.0,72.0
2026-05-25,69.0,47,68.0,70.0
2026-05-26,70.0,102,65.0,75.0
2026-05-27,70.5,46,69.0,72.0
2026-05-28,70.0,55,65.0,75.0
2026-05-29,70.0,74,60.0,80.0
2026-05-30,69.5,57,68.0,71.0
2026-05-31,70.0,78,68.0,72.0
2026-06-01,68.5,78,62.0,75.0
2026-06-02,70.0,51,68.0,72.0
2026-06-03,69.0,39,68.0,70.0
2026-06-04,68.0,86,56.0,80.0
2026-06-05,77.5,90,55.0,100.0
2026-06-06,70.0,76,68.0,72.0
2026-06-07,70.0,65,68.0,72.0
2026-06-08,70.0,69,68.0,72.0
2026-06-09,69.5,51,69.0,70.0
2026-06-10,69.0,63,68.0,70.0
2026-06-11,70.0,67,65.0,75.0
2026-06-12,69.0,56,68.0,70.0
2026-06-13,65.5,79,56.0,75.0
2026-06-14,70.0,69,68.0,72.0
2026-06-15,70.0,43,68.0,72.0
2026-06-16,69.5,47,69.0,70.0
2026-06-17,70.0,35,68.0,72.0
2026-06-18,69.0,53,67.0,71.0
2026-06-19,68.5,48,67.0,70.0
2026-06-20,68.5,62,67.0,70.0
2026-06-21,68.5,46,67.0,70.0
2026-06-22,70.0,56,68.0,72.0
2026-06-23,68.5,47,67.0,70.0
2026-06-24,68.5,53,67.0,70.0
2026-06-25,68.5,48,67.0,70.0
2026-06-26,68.5,58,67.0,70.0
2026-06-27,68.5,58,67.0,70.0
2026-06-28,65.0,92,55.0,75.0
2026-06-29,67.0,53,64.0,70.0
