datetime,avg_price,volume,min_price,max_price
2026-04-09,66.0,107,37.0,95.0
2026-04-10,50.0,118,45.0,55.0
2026-04-11,50.0,62,48.0,52.0
2026-04-12,51.5,110,38.0,65.0
2026-04-13,55.0,88,45.0,65.0
2026-04-14,53.5,114,47.0,60.0
2026-04-15,54.0,101,48.0,60.0
2026-04-16,55.0,76,50.0,60.0
2026-04-17,55.0,69,54.0,56.0
2026-04-18,52.0,127,44.0,60.0
2026-04-19,55.0,108,50.0,60.0
2026-04-20,54.5,74,44.0,65.0
2026-04-21,57.5,110,50.0,65.0
2026-04-22,54.5,107,49.0,60.0
2026-04-23,58.5,54,57.0,60.0
2026-04-24,59.0,91,58.0,60.0
2026-04-25,60.0,144,58.0,62.0
2026-04-26,80.0,171,30.0,130.0
2026-04-27,59.0,87,58.0,60.0
2026-04-28,70.0,117,40.0,100.0
2026-04-29,60.0,93,58.0,62.0
2026-04-30,59.5,84,58.0,61.0
2026-05-01,60.0,81,58.0,62.0
2026-05-02,60.0,115,58.0,62.0
2026-05-03,60.0,83,58.0,62.0
2026-05-04,60.0,66,58.0,62.0
2026-05-05,60.0,62,58.0,62.0
2026-05-06,60.0,101,55.0,65.0
2026-05-07,65.0,105,55.0,75.0
2026-05-08,65.0,112,55.0,75.0
2026-05-09,61.5,132,53.0,70.0
2026-05-10,62.5,113,55.0,70.0
2026-05-11,63.0,89,51.0,75.0
2026-05-12,62.5,102,55.0,70.0
2026-05-13,64.5,69,55.0,74.0
2026-05-14,65.0,71,60.0,70.0
2026-05-15,64.5,85,54.0,75.0
2026-05-16,64.5,90,57.0,72.0
2026-05-17,65.0,84,60.0,70.0
2026-05-18,64.0,94,58.0,70.0
2026-05-19,63.5,61,52.0,75.0
2026-05-20,65.0,77,60.0,70.0
2026-05-21,65.0,71,55.0,75.0
2026-05-22,62.5,90,55.0,70.0
2026-05-23,64.0,107,58.0,70.0
2026-05-24,62.5,86,55.0,70.0
2026-05-25,65.0,82,60.0,70.0
2026-05-26,64.5,82,59.0,70.0
2026-05-27,65.0,57,63.0,67.0
2026-05-28,66.0,142,62.0,70.0
2026-05-29,64.0,76,58.0,70.0
2026-05-30,66.0,110,62.0,70.0
2026-05-31,64.5,99,59.0,70.0
2026-06-01,62.5,75,55.0,70.0
2026-06-02,65.0,79,60.0,70.0
2026-06-03,65.0,69,60.0,70.0
2026-06-04,68.5,46,67.0,70.0
2026-06-05,64.5,61,59.0,70.0
2026-06-06,65.0,118,60.0,70.0
2026-06-07,67.0,88,64.0,70.0
2026-06-08,67.0,65,64.0,70.0
2026-06-09,67.0,59,64.0,70.0
2026-06-10,65.5,83,56.0,75.0
2026-06-11,65.0,84,60.0,70.0
2026-06-12,65.0,71,60.0,70.0
2026-06-13,66.0,84,62.0,70.0
2026-06-14,65.0,84,60.0,70.0
2026-06-15,64.0,54,58.0,70.0
2026-06-16,65.0,71,60.0,70.0
2026-06-17,68.5,139,67.0,70.0
2026-06-18,68.5,176,67.0,70.0
2026-06-19,66.5,170,63.0,70.0
2026-06-20,66.0,184,62.0,70.0
2026-06-21,63.5,162,57.0,70.0
2026-06-22,66.5,129,63.0,70.0
2026-06-23,68.5,121,67.0,70.0
2026-06-24,68.5,122,67.0,70.0
2026-06-25,69.0,127,68.0,70.0
2026-06-26,68.5,81,67.0,70.0
2026-06-27,68.5,79,67.0,70.0
2026-06-28,69.0,100,68.0,70.0
2026-06-29,69.0,69,68.0,70.0
2026-06-30,68.5,69,67.0,70.0
2026-07-01,68.5,74,67.0,70.0
2026-07-02,68.5,58,67.0,70.0
2026-07-03,68.5,62,67.0,70.0
2026-07-04,68.5,92,67.0,70.0
2026-07-05,68.5,75,67.0,70.0
2026-07-06,68.5,79,67.0,70.0
