datetime,avg_price,volume,min_price,max_price
2026-05-09,89.0,175,87.0,91.0
2026-05-10,88.5,181,87.0,90.0
2026-05-11,89.0,170,88.0,90.0
2026-05-12,88.5,160,87.0,90.0
2026-05-13,88.5,181,87.0,90.0
2026-05-14,88.5,149,87.0,90.0
2026-05-15,89.0,137,88.0,90.0
2026-05-16,88.5,192,87.0,90.0
2026-05-17,89.0,174,88.0,90.0
2026-05-18,90.0,193,60.0,120.0
2026-05-19,72.5,214,45.0,100.0
2026-05-20,113.0,198,76.0,150.0
2026-05-21,89.5,128,88.0,91.0
2026-05-22,90.0,175,85.0,95.0
2026-05-23,107.5,228,75.0,140.0
2026-05-24,90.0,247,60.0,120.0
2026-05-25,90.0,95,88.0,92.0
2026-05-26,90.0,132,88.0,92.0
2026-05-27,90.0,110,88.0,92.0
2026-05-28,90.0,120,88.0,92.0
2026-05-29,80.0,207,70.0,90.0
2026-05-30,79.0,119,77.0,81.0
2026-05-31,80.0,158,75.0,85.0
2026-06-01,82.5,160,75.0,90.0
2026-06-02,83.5,99,82.0,85.0
2026-06-03,82.5,134,75.0,90.0
2026-06-04,82.5,134,75.0,90.0
2026-06-05,84.0,129,79.0,89.0
2026-06-06,82.5,155,75.0,90.0
2026-06-07,84.0,160,79.0,89.0
2026-06-08,85.0,158,75.0,95.0
2026-06-09,80.0,167,70.0,90.0
2026-06-10,82.5,109,75.0,90.0
2026-06-11,77.5,219,60.0,95.0
2026-06-12,73.0,338,61.0,85.0
2026-06-13,72.5,340,63.0,82.0
2026-06-14,74.0,297,63.0,85.0
2026-06-15,70.0,224,62.0,78.0
2026-06-16,70.0,149,68.0,72.0
2026-06-17,70.0,217,62.0,78.0
2026-06-18,70.0,141,68.0,72.0
2026-06-19,70.0,248,60.0,80.0
2026-06-20,70.0,299,65.0,75.0
2026-06-21,70.0,262,65.0,75.0
2026-06-22,70.0,179,68.0,72.0
2026-06-23,69.5,149,68.0,71.0
2026-06-24,69.0,161,67.0,71.0
2026-06-25,69.5,254,59.0,80.0
2026-06-26,67.5,263,60.0,75.0
2026-06-27,68.5,197,65.0,72.0
2026-06-28,67.5,252,60.0,75.0
2026-06-29,67.5,239,60.0,75.0
2026-06-30,69.5,227,59.0,80.0
2026-07-01,65.0,231,55.0,75.0
2026-07-02,65.0,218,55.0,75.0
2026-07-03,66.0,214,62.0,70.0
2026-07-04,65.0,241,60.0,70.0
2026-07-05,64.0,255,58.0,70.0
2026-07-06,66.0,183,62.0,70.0
2026-07-07,65.5,168,61.0,70.0
2026-07-08,65.0,190,55.0,75.0
2026-07-09,64.0,236,58.0,70.0
2026-07-10,65.0,240,60.0,70.0
2026-07-11,64.0,192,58.0,70.0
2026-07-12,63.5,127,62.0,65.0
2026-07-13,65.0,201,60.0,70.0
2026-07-14,65.0,187,60.0,70.0
2026-07-15,64.0,199,58.0,70.0
2026-07-16,65.0,113,63.0,67.0
2026-07-17,65.0,187,60.0,70.0
2026-07-18,65.0,180,60.0,70.0
2026-07-19,68.5,142,67.0,70.0
2026-07-20,69.0,110,67.0,71.0
2026-07-21,69.0,146,67.0,71.0
2026-07-22,68.5,150,65.0,72.0
2026-07-23,68.5,146,67.0,70.0
2026-07-24,68.5,150,67.0,70.0
2026-07-25,68.5,108,67.0,70.0
2026-07-26,68.5,134,67.0,70.0
2026-07-27,72.5,189,55.0,90.0
2026-07-28,80.0,205,50.0,110.0
2026-07-29,70.0,123,68.0,72.0
2026-07-30,68.5,173,62.0,75.0
2026-07-31,70.0,173,65.0,75.0
2026-08-01,70.0,138,68.0,72.0
2026-08-02,71.5,184,68.0,75.0
2026-08-03,72.5,152,68.0,77.0
2026-08-04,73.5,89,72.0,75.0
2026-08-05,72.5,143,66.0,79.0
