datetime,avg_price,volume,min_price,max_price
2026-04-28,70.5,62,69.0,72.0
2026-04-29,70.0,72,65.0,75.0
2026-04-30,70.5,42,69.0,72.0
2026-05-01,70.0,75,65.0,75.0
2026-05-02,74.0,89,69.0,79.0
2026-05-03,70.0,102,65.0,75.0
2026-05-04,71.5,79,65.0,78.0
2026-05-05,71.5,91,68.0,75.0
2026-05-06,73.5,71,72.0,75.0
2026-05-07,71.0,81,67.0,75.0
2026-05-08,73.5,64,72.0,75.0
2026-05-09,73.5,65,72.0,75.0
2026-05-10,72.0,88,69.0,75.0
2026-05-11,73.5,70,72.0,75.0
2026-05-12,73.5,63,72.0,75.0
2026-05-13,73.5,54,72.0,75.0
2026-05-14,74.0,58,73.0,75.0
2026-05-15,73.5,44,72.0,75.0
2026-05-16,73.5,61,72.0,75.0
2026-05-17,74.0,53,73.0,75.0
2026-05-18,74.0,50,73.0,75.0
2026-05-19,73.5,47,72.0,75.0
2026-05-20,72.0,70,69.0,75.0
2026-05-21,70.0,72,65.0,75.0
2026-05-22,73.5,79,72.0,75.0
2026-05-23,73.5,64,72.0,75.0
2026-05-24,73.5,51,72.0,75.0
2026-05-25,72.0,69,65.0,79.0
2026-05-26,70.0,68,60.0,80.0
2026-05-27,72.5,81,65.0,80.0
2026-05-28,70.0,74,60.0,80.0
2026-05-29,72.0,80,69.0,75.0
2026-05-30,72.0,94,69.0,75.0
2026-05-31,71.5,105,68.0,75.0
2026-06-01,73.5,49,72.0,75.0
2026-06-02,73.5,58,72.0,75.0
2026-06-03,73.5,71,72.0,75.0
2026-06-04,75.0,59,73.0,77.0
2026-06-05,74.0,52,72.0,76.0
2026-06-06,73.5,67,72.0,75.0
2026-06-07,72.5,104,65.0,80.0
2026-06-08,73.5,53,72.0,75.0
2026-06-09,73.5,42,72.0,75.0
2026-06-10,73.5,59,72.0,75.0
2026-06-11,74.0,86,68.0,80.0
2026-06-12,72.0,67,69.0,75.0
2026-06-13,71.5,88,68.0,75.0
2026-06-14,72.0,76,69.0,75.0
2026-06-15,71.5,81,68.0,75.0
2026-06-16,73.0,71,68.0,78.0
2026-06-17,71.5,52,68.0,75.0
2026-06-18,72.5,81,70.0,75.0
2026-06-19,71.0,68,68.0,74.0
2026-06-20,70.5,59,69.0,72.0
2026-06-21,70.5,45,69.0,72.0
2026-06-22,70.0,93,60.0,80.0
2026-06-23,70.5,51,69.0,72.0
2026-06-24,72.0,80,69.0,75.0
2026-06-25,73.5,49,72.0,75.0
2026-06-26,68.5,79,62.0,75.0
2026-06-27,67.5,102,60.0,75.0
2026-06-28,70.0,92,65.0,75.0
2026-06-29,70.0,81,60.0,80.0
2026-06-30,70.0,51,68.0,72.0
2026-07-01,70.0,53,68.0,72.0
2026-07-02,70.0,61,65.0,75.0
2026-07-03,71.5,78,68.0,75.0
2026-07-04,71.5,103,65.0,78.0
2026-07-05,70.0,53,68.0,72.0
2026-07-06,70.0,87,65.0,75.0
2026-07-07,71.5,67,68.0,75.0
2026-07-08,72.0,70,69.0,75.0
2026-07-09,70.0,74,65.0,75.0
2026-07-10,70.0,49,65.0,75.0
2026-07-11,70.0,46,68.0,72.0
2026-07-12,70.0,73,68.0,72.0
2026-07-13,70.0,51,68.0,72.0
2026-07-14,70.5,54,69.0,72.0
2026-07-15,70.0,76,65.0,75.0
2026-07-16,71.5,73,68.0,75.0
2026-07-17,69.5,85,60.0,79.0
2026-07-18,70.0,84,65.0,75.0
2026-07-19,70.0,99,65.0,75.0
2026-07-20,70.0,81,65.0,75.0
2026-07-21,70.0,88,65.0,75.0
2026-07-22,69.5,44,68.0,71.0
2026-07-23,69.0,60,68.0,70.0
2026-07-24,69.0,46,68.0,70.0
2026-07-25,70.0,96,65.0,75.0
